PlayerID,Name,Country,Sport,Age,Gender
P001,Jane Smith,USA,Tennis,34,Female
P002,Charlie Davis,Japan,Swimming,30,Male
P003,Bob Brown,Australia,Tennis,23,Male
P004,John Doe,Australia,Gymnastics,32,Male
P005,Jane Smith,Japan,Athletics,32,Female
P006,Bob Brown,Japan,Swimming,27,Male
P007,Alice Johnson,Australia,Tennis,31,Male
P008,John Doe,Japan,Tennis,32,Female
P009,Jane Smith,USA,Swimming,31,Female
P010,Alice Johnson,USA,Athletics,33,Female
P011,Alice Johnson,Canada,Gymnastics,26,Male
P012,John Doe,UK,Swimming,24,Male
P013,John Doe,UK,Basketball,21,Female
P014,Jane Smith,Canada,Gymnastics,23,Male
P015,Alice Johnson,Australia,Swimming,26,Female
P016,Charlie Davis,Japan,Swimming,33,Male
P017,Charlie Davis,Japan,Gymnastics,29,Male
P018,John Doe,Australia,Basketball,18,Female
P019,Bob Brown,USA,Athletics,20,Male
P020,Jane Smith,Australia,Basketball,34,Female
P021,Charlie Davis,USA,Basketball,24,Male
P022,Jane Smith,Canada,Basketball,22,Male
P023,Jane Smith,Japan,Gymnastics,21,Male
P024,Charlie Davis,Canada,Basketball,27,Female
P025,Charlie Davis,Japan,Swimming,23,Male
P026,Bob Brown,UK,Basketball,26,Female
P027,Alice Johnson,Japan,Basketball,21,Male
P028,Alice Johnson,UK,Swimming,31,Female
P029,Alice Johnson,Canada,Athletics,31,Female
P030,Bob Brown,Australia,Tennis,27,Female
P031,Charlie Davis,Canada,Swimming,32,Female
P032,Alice Johnson,Japan,Gymnastics,28,Female
P033,Charlie Davis,Australia,Tennis,30,Female
P034,Alice Johnson,Japan,Basketball,25,Male
P035,John Doe,USA,Tennis,26,Male
P036,John Doe,Canada,Gymnastics,29,Female
P037,Charlie Davis,Canada,Tennis,23,Male
P038,Bob Brown,UK,Tennis,21,Male
P039,John Doe,UK,Basketball,25,Male
P040,Bob Brown,Canada,Gymnastics,35,Male
P041,John Doe,Australia,Basketball,34,Male
P042,Charlie Davis,Australia,Athletics,32,Male
P043,Alice Johnson,USA,Basketball,18,Male
P044,Alice Johnson,Canada,Swimming,28,Female
P045,Jane Smith,Australia,Athletics,25,Female
P046,Bob Brown,Australia,Basketball,18,Female
P047,Charlie Davis,USA,Tennis,29,Male
P048,Alice Johnson,Australia,Swimming,20,Female
P049,Charlie Davis,Japan,Athletics,20,Male
P050,Jane Smith,Australia,Swimming,19,Male
